Accelerator,Platform,Category,Total_Functions,Flagged_Functions,Manually_Analyzed_Functions,NER
Google TPU,coral,Relevant Functions,159,12,1,99.37
Google TPU,coral,KD Entry Point,159,15,7,95.60
Google TPU,coral,SMem Handling,159,18,5,96.86
NXP NPU,nxp,Relevant Functions,1273,13,4,99.69
NXP NPU,nxp,KD Entry Point,1273,10,7,99.45
NXP NPU,nxp,SMem Handling,1273,16,7,99.45
TMMA,ti,Relevant Functions,6138,8,6,99.90
TMMA,ti,KD Entry Point,6138,9,6,99.90
TMMA,ti,SMem Handling,6138,17,4,99.93
HAILO NPU,hailo,Relevant Functions,296,7,3,98.99
HAILO NPU,hailo,KD Entry Point,296,20,15,94.93
HAILO NPU,hailo,SMem Handling,296,23,4,98.65
NVIDIA GPU,nvidia,Relevant Functions,7624,27,14,99.82
NVIDIA GPU,nvidia,KD Entry Point,7624,38,21,99.72
NVIDIA GPU,nvidia,SMem Handling,7624,41,32,99.58
AWS INF,aws,Relevant Functions,635,8,5,99.21
AWS INF,aws,KD Entry Point,635,12,9,98.58
AWS INF,aws,SMem Handling,635,18,14,97.80
