Accelerator,Platform,Category,Total_Functions,Flagged_Functions,Manually_Analyzed_Functions,NER
Google TPU,coral,Relevant Functions,159,15,1,99.37
Google TPU,coral,KD Entry Point,159,15,8,94.97
Google TPU,coral,SMem Handling,159,19,7,95.60
NXP NPU,nxp,Relevant Functions,1273,13,4,99.69
NXP NPU,nxp,KD Entry Point,1273,10,6,99.53
NXP NPU,nxp,SMem Handling,1273,17,15,98.82
TMMA,ti,Relevant Functions,6138,9,6,99.90
TMMA,ti,KD Entry Point,6138,8,6,99.90
TMMA,ti,SMem Handling,6138,17,3,99.95
HAILO NPU,hailo,Relevant Functions,296,8,3,98.99
HAILO NPU,hailo,KD Entry Point,296,20,14,95.27
HAILO NPU,hailo,SMem Handling,296,22,18,93.92
NVIDIA GPU,nvidia,Relevant Functions,7624,28,13,99.83
NVIDIA GPU,nvidia,KD Entry Point,7624,40,17,99.78
NVIDIA GPU,nvidia,SMem Handling,7624,45,27,99.65
AWS INF,aws,Relevant Functions,635,8,6,99.06
AWS INF,aws,KD Entry Point,635,12,8,98.74
AWS INF,aws,SMem Handling,635,18,15,97.64
