Driver,SourceFiles,Declared,Dispatched,External,SecondLevel,Effective,DeclaredNotDispatched,Roots
coral,16,16,15,0,0,15,1,/home/sri/Desktop/Research/Accelerators_Research/google_coral_dev/gasket-driver
hailo,54,29,27,0,0,27,2,/home/sri/Desktop/Research/Accelerators_Research/halio/hailort-drivers
aws,78,91,90,0,0,90,1,/home/sri/Desktop/Research/Accelerators_Research/aws_inferentia/major_rev_codeql/aws-neuronx-2.20.28.0
nxp,112,10,12,2,79,91,0,/home/sri/Desktop/Research/Accelerators_Research/nxp_8mplusbb/linux-imx/drivers/mxc/gpu-viv
nvidia_nvgpu,2204,156,169,17,7,176,4,/media/sri/D/l4t-r35.6.1/source/kernel/nvgpu
nvidia_nvmap,28,33,31,0,0,31,2,/media/sri/D/l4t-r35.6.1/source/kernel/nvidia/drivers/video/tegra/nvmap /media/sri/D/l4t-r35.6.1/source/kernel/nvidia/include/uapi/linux/nvmap.h
ti_dmabuf,6,0,8,8,0,8,0,/home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/dma-buf/dma-buf.c /home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/dma-buf/dma-heap.c /home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/dma-buf/sync_file.c /home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/dma-buf/heaps/carveout-heap.c /home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/dma-buf/heaps/cma_heap.c /home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/dma-buf/heaps/system_heap.c
ti_misc,1,0,1,1,0,1,0,/home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/misc/dma-buf-phys.c
ti_remoteproc,3,0,2,2,0,2,0,/home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/remoteproc/remoteproc_cdev.c /home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/remoteproc/remoteproc_core.c /home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/remoteproc/remoteproc_debugfs.c
ti_rpmsg,4,0,3,3,0,3,0,/home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/rpmsg/rpmsg_char.c /home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/rpmsg/rpmsg_ctrl.c /home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/rpmsg/rpmsg_pru.c /home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/rpmsg/virtio_rpmsg_bus.c
