Accelerator,Platform,Category,Total_Functions,Flagged_Functions,Manually_Analyzed_Functions,NER
Google TPU,coral,Relevant Functions,159,13,,
Google TPU,coral,KD Entry Point,159,12,,
Google TPU,coral,SMem Handling,159,17,,
NXP NPU,nxp,Relevant Functions,1273,14,,
NXP NPU,nxp,KD Entry Point,1273,9,,
NXP NPU,nxp,SMem Handling,1273,18,,
TMMA,ti,Relevant Functions,6138,9,,
TMMA,ti,KD Entry Point,6138,9,,
TMMA,ti,SMem Handling,6138,17,,
HAILO NPU,hailo,Relevant Functions,296,9,,
HAILO NPU,hailo,KD Entry Point,296,19,,
HAILO NPU,hailo,SMem Handling,296,23,,
NVIDIA GPU,nvidia,Relevant Functions,7624,32,,
NVIDIA GPU,nvidia,KD Entry Point,7624,42,,
NVIDIA GPU,nvidia,SMem Handling,7624,47,,
AWS INF,aws,Relevant Functions,635,8,,
AWS INF,aws,KD Entry Point,635,12,,
AWS INF,aws,SMem Handling,635,18,,
